"","k","distance","scale","regr.mse"
"1",4,3,TRUE,57.43367384507
"2",6,3,TRUE,57.8524755031128
"3",5,3,TRUE,57.8964283753701
"4",4,4,FALSE,57.9155886425461
"5",6,2,TRUE,57.9305467251095
"6",4,5,FALSE,57.9419467634845
"7",4,4,TRUE,58.0326625237828
"8",4,5,TRUE,58.201650731267
"9",5,2,TRUE,58.2713888869351
"10",7,2,TRUE,58.3025484359009
"11",4,2,TRUE,58.5385310894821
"12",4,3,FALSE,58.6531807737313
"13",5,2,FALSE,58.683362880316
"14",5,4,FALSE,58.701631632507
"15",8,2,TRUE,58.9553007262751
"16",5,3,FALSE,59.0632592431173
"17",7,3,TRUE,59.1344240092946
"18",5,4,TRUE,59.2317871608735
"19",4,2,FALSE,59.3030887664179
"20",5,5,FALSE,59.3107420692387
"21",6,4,TRUE,59.3485023136788
"22",8,3,TRUE,59.4881777144795
"23",5,5,TRUE,59.5058151594037
"24",6,2,FALSE,59.5080849141277
"25",9,2,TRUE,59.5726645900963
"26",6,5,TRUE,59.5839750168777
"27",6,4,FALSE,59.8459201491574
"28",6,3,FALSE,59.8994334227449
"29",7,2,FALSE,59.9925341073041
"30",10,2,TRUE,60.2471717361437
"31",7,4,TRUE,60.2666830661122
"32",8,4,TRUE,60.3583893644695
"33",9,3,TRUE,60.3864568426204
"34",6,5,FALSE,60.443385325998
"35",8,2,FALSE,60.593019519049
"36",7,3,FALSE,60.6562227450194
"37",7,5,TRUE,60.7365716148575
"38",10,3,TRUE,60.8004101453444
"39",8,5,TRUE,61.0153973829611
"40",11,2,TRUE,61.0684242469192
"41",7,4,FALSE,61.1266056979662
"42",9,4,TRUE,61.2077854785647
"43",9,2,FALSE,61.2800173614362
"44",11,3,TRUE,61.4898078044753
"45",7,5,FALSE,61.4966635936365
"46",9,1,FALSE,61.5189580464472
"47",8,1,FALSE,61.5210388455373
"48",9,5,TRUE,61.5316881074834
"49",10,4,TRUE,61.6552424148417
"50",8,3,FALSE,61.7197647175204
"51",7,1,FALSE,61.9065587789176
"52",12,2,TRUE,61.9265437994096
"53",10,1,FALSE,62.0730331020473
"54",10,2,FALSE,62.2120516818829
"55",10,5,TRUE,62.2252805901626
"56",12,3,TRUE,62.4702612780489
"57",11,4,TRUE,62.4852651568428
"58",11,1,FALSE,62.4854978952954
"59",9,3,FALSE,62.6074720795941
"60",8,4,FALSE,62.8071754293307
"61",8,1,TRUE,62.9200593062574
"62",8,5,FALSE,62.9813658509106
"63",6,1,FALSE,62.9837753122868
"64",11,5,TRUE,63.1088918986018
"65",12,1,FALSE,63.1177957811437
"66",12,4,TRUE,63.1321376683029
"67",9,1,TRUE,63.1436637337915
"68",10,1,TRUE,63.2003191277333
"69",11,1,TRUE,63.4050478637463
"70",7,1,TRUE,63.4583184998032
"71",11,2,FALSE,63.4914842457754
"72",10,3,FALSE,63.4926074079726
"73",12,1,TRUE,63.5522456528808
"74",12,5,TRUE,63.6377044378928
"75",6,1,TRUE,63.8347033979432
"76",9,4,FALSE,63.8721175500813
"77",9,5,FALSE,64.2186404654999
"78",12,2,FALSE,64.5704746005977
"79",11,3,FALSE,64.6450324537401
"80",10,4,FALSE,64.7636891237318
"81",5,1,FALSE,65.2630919861573
"82",5,1,TRUE,65.3700832805579
"83",10,5,FALSE,65.6347780304928
"84",12,3,FALSE,65.9983717691547
"85",11,4,FALSE,66.1640342738226
"86",11,5,FALSE,66.8706882712404
"87",12,4,FALSE,67.1762872604989
"88",12,5,FALSE,67.8722122090114
"89",4,1,FALSE,67.9855035184981
"90",4,1,TRUE,68.4549018339714
