"","k","distance","kernel","scale","regr.mse"
"1",5,3,"inv",TRUE,58.2188153766669
"2",4,3,"inv",TRUE,58.258914037288
"3",7,2,"inv",TRUE,58.6977900051663
"4",5,2,"inv",TRUE,58.7784523259459
"5",5,2,"inv",FALSE,59.0450312102475
"6",4,3,"inv",FALSE,59.0746730721929
"7",4,2,"inv",TRUE,59.2915331173365
"8",7,3,"inv",TRUE,59.3453435856673
"9",4,2,"inv",FALSE,59.7382747376661
"10",5,3,"inv",FALSE,59.8296888265183
"11",9,2,"inv",TRUE,60.081538722666
"12",7,2,"inv",FALSE,60.3950858031427
"13",9,3,"inv",TRUE,60.5917163410804
"14",10,2,"inv",TRUE,61.0109314454384
"15",7,3,"inv",FALSE,61.0759545658646
"16",10,3,"inv",TRUE,61.3898678882006
"17",9,2,"inv",FALSE,61.3934348360179
"18",9,1,"inv",FALSE,62.4298942383652
"19",10,2,"inv",FALSE,62.6493460380117
"20",12,2,"inv",TRUE,62.6589991613396
"21",7,1,"inv",FALSE,62.69619943224
"22",10,1,"inv",FALSE,62.8115126521893
"23",9,3,"inv",FALSE,62.9850418297284
"24",4,3,"optimal",TRUE,63.0959643686577
"25",12,3,"inv",TRUE,63.28077812815
"26",5,3,"optimal",TRUE,63.409742763799
"27",12,1,"inv",FALSE,63.9157900127888
"28",10,3,"inv",FALSE,64.1255410575816
"29",14,2,"inv",TRUE,64.2499689405229
"30",9,1,"inv",TRUE,64.2501580352593
"31",7,1,"inv",TRUE,64.2815459337639
"32",10,1,"inv",TRUE,64.5121848355615
"33",4,3,"optimal",FALSE,64.6188117081572
"34",14,3,"inv",TRUE,64.7582984210538
"35",4,2,"optimal",FALSE,64.7888443010974
"36",12,1,"inv",TRUE,64.9441338751409
"37",7,3,"optimal",TRUE,64.9885537719176
"38",5,2,"optimal",TRUE,65.0399133025949
"39",12,2,"inv",FALSE,65.0564557695051
"40",4,2,"optimal",TRUE,65.1100555438582
"41",15,2,"inv",TRUE,65.1726819929829
"42",5,3,"optimal",FALSE,65.175244256711
"43",5,2,"optimal",FALSE,65.1795365170663
"44",2,3,"inv",TRUE,65.1833902530751
"45",14,1,"inv",FALSE,65.2241078071991
"46",15,3,"inv",TRUE,65.6767513088873
"47",15,1,"inv",FALSE,65.7788203220647
"48",14,1,"inv",TRUE,65.8009384214751
"49",5,1,"inv",FALSE,65.956397615613
"50",7,2,"optimal",TRUE,65.9619509274454
"51",12,3,"inv",FALSE,66.2707522919716
"52",5,1,"inv",TRUE,66.3713308675541
"53",15,1,"inv",TRUE,66.5676819795295
"54",14,2,"inv",FALSE,66.7656112977257
"55",2,3,"optimal",TRUE,66.9530569490968
"56",2,3,"inv",FALSE,66.9536568549383
"57",9,3,"optimal",TRUE,67.2803791853229
"58",2,2,"inv",FALSE,67.2924018368216
"59",4,3,"triangular",FALSE,67.3353808756124
"60",7,2,"optimal",FALSE,67.5920392951679
"61",15,2,"inv",FALSE,67.6167653222196
"62",7,3,"optimal",FALSE,67.6892083881684
"63",9,2,"optimal",TRUE,67.8344857510342
"64",2,2,"inv",TRUE,68.1795298669023
"65",4,3,"triangular",TRUE,68.3274584732597
"66",14,3,"inv",FALSE,68.3334056819439
"67",2,2,"optimal",FALSE,68.4057980173514
"68",10,3,"optimal",TRUE,68.4212541257006
"69",2,3,"triangular",TRUE,68.5626805696681
"70",2,2,"optimal",TRUE,68.7113378173244
"71",4,1,"inv",FALSE,68.745603244458
"72",2,3,"optimal",FALSE,68.7643489141002
"73",4,2,"triangular",FALSE,68.8172264444756
"74",10,2,"optimal",TRUE,68.8808285028768
"75",4,2,"triangular",TRUE,68.9579567444554
"76",5,3,"triangular",FALSE,69.1669276502573
"77",15,3,"inv",FALSE,69.168389849518
"78",2,2,"triangular",TRUE,69.4834701927594
"79",4,1,"inv",TRUE,69.610985695498
"80",5,3,"triangular",TRUE,69.7185729892064
"81",2,2,"triangular",FALSE,69.7265402550718
"82",2,3,"triangular",FALSE,69.7415903702264
"83",9,2,"optimal",FALSE,70.2349231265755
"84",4,3,"gaussian",TRUE,70.3146510271004
"85",7,3,"triangular",TRUE,70.3311087153616
"86",9,3,"optimal",FALSE,70.5161247452079
"87",5,2,"triangular",FALSE,70.5675410436943
"88",5,2,"triangular",TRUE,70.7395036774488
"89",12,3,"optimal",TRUE,70.7899894877872
"90",12,2,"optimal",TRUE,71.1136770819509
"91",7,3,"triangular",FALSE,71.4868668710232
"92",4,3,"gaussian",FALSE,71.5078206396086
"93",9,3,"triangular",TRUE,71.5132515610017
"94",10,2,"optimal",FALSE,71.554514120122
"95",5,3,"gaussian",TRUE,71.6391541059745
"96",7,2,"triangular",TRUE,71.7823391188101
"97",10,3,"optimal",FALSE,71.9840206317565
"98",4,2,"gaussian",TRUE,72.1831837867081
"99",10,3,"triangular",TRUE,72.3924105025993
"100",9,1,"optimal",TRUE,72.5817982704405
"101",9,2,"triangular",TRUE,72.7029789676922
"102",7,1,"optimal",TRUE,72.7238844807884
"103",5,2,"gaussian",TRUE,72.7591604912874
"104",4,2,"gaussian",FALSE,72.8109230729924
"105",10,1,"optimal",TRUE,72.8685798144725
"106",7,2,"triangular",FALSE,72.9124503664626
"107",2,3,"gaussian",TRUE,73.030809546969
"108",14,3,"optimal",TRUE,73.0760981830582
"109",14,2,"optimal",TRUE,73.1299277557965
"110",9,3,"triangular",FALSE,73.5093584149637
"111",10,2,"triangular",TRUE,73.5241430847411
"112",12,1,"optimal",TRUE,73.8377739455152
"113",7,3,"gaussian",TRUE,73.8943178627815
"114",5,2,"gaussian",FALSE,73.9756825624161
"115",12,3,"triangular",TRUE,74.0035701627832
"116",15,2,"optimal",TRUE,74.0500488475226
"117",9,2,"triangular",FALSE,74.0887832201867
"118",5,3,"gaussian",FALSE,74.1019003008204
"119",15,3,"optimal",TRUE,74.1273939069522
"120",7,2,"gaussian",TRUE,74.1696600522172
"121",9,1,"optimal",FALSE,74.1798242311498
"122",12,2,"optimal",FALSE,74.2066504214277
"123",1,3,"optimal",TRUE,74.2441500194175
"124",1,3,"rectangular",TRUE,74.2441500194175
"125",1,3,"triangular",TRUE,74.2441500194175
"126",1,3,"gaussian",TRUE,74.2441500194175
"127",1,3,"inv",TRUE,74.2441500194175
"128",10,1,"optimal",FALSE,74.3173254144123
"129",5,1,"optimal",TRUE,74.3672933379536
"130",1,2,"gaussian",FALSE,74.3766335339806
"131",1,2,"triangular",FALSE,74.3766335339806
"132",1,2,"optimal",FALSE,74.3766335339806
"133",1,2,"rectangular",FALSE,74.3766335339806
"134",1,2,"inv",FALSE,74.3766335339806
"135",1,2,"inv",TRUE,74.4642881165048
"136",1,2,"gaussian",TRUE,74.4642881165048
"137",1,2,"optimal",TRUE,74.4642881165048
"138",1,2,"rectangular",TRUE,74.4642881165048
"139",1,2,"triangular",TRUE,74.4642881165049
"140",2,3,"gaussian",FALSE,74.5377791700992
"141",10,3,"triangular",FALSE,74.6168838416205
"142",7,1,"optimal",FALSE,74.7130984727401
"143",4,3,"rectangular",TRUE,74.8137804769417
"144",12,3,"optimal",FALSE,74.902823002954
"145",1,3,"triangular",FALSE,75.0482006796117
"146",1,3,"gaussian",FALSE,75.0482006796117
"147",1,3,"inv",FALSE,75.0482006796117
"148",1,3,"rectangular",FALSE,75.0482006796117
"149",1,3,"optimal",FALSE,75.0482006796117
"150",14,1,"optimal",TRUE,75.0862770506319
"151",12,1,"optimal",FALSE,75.1446477715517
"152",10,2,"triangular",FALSE,75.1814326747124
"153",12,2,"triangular",TRUE,75.2025615462837
"154",2,2,"gaussian",FALSE,75.2523449949432
"155",4,1,"optimal",TRUE,75.2709631654728
"156",15,1,"optimal",TRUE,75.7851219352724
"157",14,3,"triangular",TRUE,75.9855395923773
"158",5,1,"optimal",FALSE,76.1551664736859
"159",9,3,"gaussian",TRUE,76.1692236763946
"160",14,1,"optimal",FALSE,76.3270018589378
"161",4,2,"rectangular",TRUE,76.4756622269418
"162",9,2,"gaussian",TRUE,76.4943005739131
"163",5,3,"rectangular",TRUE,76.5337385926214
"164",2,3,"rectangular",TRUE,76.6405383398058
"165",15,3,"triangular",TRUE,76.6873075180011
"166",2,2,"gaussian",TRUE,76.7410241804275
"167",14,2,"optimal",FALSE,76.7755007548403
"168",7,3,"gaussian",FALSE,76.7930596927227
"169",4,1,"optimal",FALSE,76.9105213800459
"170",5,2,"rectangular",TRUE,76.9334994733981
"171",2,1,"inv",TRUE,76.9917655304612
"172",15,1,"optimal",FALSE,77.0195202374456
"173",14,2,"triangular",TRUE,77.0196233461283
"174",10,3,"gaussian",TRUE,77.3453744565732
"175",4,3,"rectangular",FALSE,77.3466418446602
"176",12,3,"triangular",FALSE,77.4402078105786
"177",2,1,"optimal",TRUE,77.5110996135008
"178",2,1,"triangular",TRUE,77.7374559226242
"179",15,2,"triangular",TRUE,77.7686621471671
"180",14,3,"optimal",FALSE,77.7691732105967
"181",10,2,"gaussian",TRUE,77.7821706932933
"182",7,2,"gaussian",FALSE,77.7845498283529
"183",12,2,"triangular",FALSE,77.8675941499496
"184",15,2,"optimal",FALSE,77.9041512074839
"185",4,2,"rectangular",FALSE,78.4182598919903
"186",2,3,"rectangular",FALSE,78.4194007912621
"187",2,1,"optimal",FALSE,78.5307578467044
"188",2,2,"rectangular",FALSE,79.0085888349515
"189",15,3,"optimal",FALSE,79.042457517664
"190",9,2,"gaussian",FALSE,79.3584785866486
"191",7,2,"rectangular",TRUE,79.6346970001981
"192",12,2,"gaussian",TRUE,79.7187926025187
"193",12,3,"gaussian",TRUE,79.8677484230131
"194",14,3,"triangular",FALSE,79.9036653909777
"195",9,3,"gaussian",FALSE,79.9901981617106
"196",2,1,"inv",FALSE,80.045043708115
"197",2,1,"triangular",FALSE,80.1367589642282
"198",14,2,"triangular",FALSE,80.2457111619275
"199",5,2,"rectangular",FALSE,80.3557865343689
"200",7,3,"rectangular",TRUE,80.506090083614
"201",2,2,"rectangular",TRUE,80.6387294660194
"202",7,1,"gaussian",TRUE,80.746338582602
"203",7,1,"gaussian",FALSE,80.9143590414834
"204",10,2,"gaussian",FALSE,80.93473244753
"205",15,3,"triangular",FALSE,80.9465600504338
"206",5,3,"rectangular",FALSE,80.989028278835
"207",9,1,"gaussian",FALSE,81.0889309430056
"208",7,1,"rectangular",TRUE,81.1134604462057
"209",9,1,"gaussian",TRUE,81.4005223296391
"210",14,2,"gaussian",TRUE,81.403169963986
"211",14,3,"gaussian",TRUE,81.476021878245
"212",15,2,"triangular",FALSE,81.5425937691242
"213",10,3,"gaussian",FALSE,81.5564391113042
"214",9,1,"triangular",FALSE,81.5834546288392
"215",5,1,"gaussian",TRUE,81.5884012789758
"216",10,1,"triangular",FALSE,81.7548156499391
"217",5,1,"rectangular",TRUE,81.7572928854369
"218",10,1,"gaussian",FALSE,82.1433915107079
"219",7,1,"triangular",FALSE,82.2407447250475
"220",15,3,"gaussian",TRUE,82.2826297921419
"221",10,1,"gaussian",TRUE,82.3984568646175
"222",7,1,"rectangular",FALSE,82.4428018799287
"223",15,2,"gaussian",TRUE,82.4489082911085
"224",9,1,"triangular",TRUE,82.5491967105293
"225",10,1,"triangular",TRUE,82.8236424244625
"226",5,1,"triangular",FALSE,82.8302763339151
"227",7,1,"triangular",TRUE,82.9127931352953
"228",5,1,"gaussian",FALSE,83.0308586113291
"229",1,1,"gaussian",FALSE,83.0648527572816
"230",1,1,"optimal",FALSE,83.0648527572816
"231",1,1,"inv",FALSE,83.0648527572816
"232",1,1,"rectangular",FALSE,83.0648527572816
"233",1,1,"triangular",FALSE,83.0648527572816
"234",5,1,"triangular",TRUE,83.1272223667136
"235",12,1,"triangular",FALSE,83.2112126152945
"236",12,1,"triangular",TRUE,83.2231993505354
"237",4,1,"triangular",TRUE,83.4468091457244
"238",9,1,"rectangular",TRUE,83.484948830157
"239",4,1,"triangular",FALSE,83.4981635561243
"240",12,1,"gaussian",TRUE,83.6453516142164
"241",14,1,"triangular",TRUE,84.066027764781
"242",12,2,"gaussian",FALSE,84.0944018545551
"243",9,2,"rectangular",TRUE,84.1129399805825
"244",9,3,"rectangular",TRUE,84.1191520882177
"245",9,1,"rectangular",FALSE,84.146612819849
"246",1,1,"optimal",TRUE,84.222454815534
"247",1,1,"triangular",TRUE,84.222454815534
"248",1,1,"gaussian",TRUE,84.222454815534
"249",1,1,"inv",TRUE,84.222454815534
"250",1,1,"rectangular",TRUE,84.222454815534
"251",12,1,"gaussian",FALSE,84.3820352991047
"252",14,1,"triangular",FALSE,84.6484701657808
"253",15,1,"triangular",TRUE,84.7264481979905
"254",12,3,"gaussian",FALSE,84.7494694342494
"255",7,3,"rectangular",FALSE,85.3626800931246
"256",10,1,"rectangular",TRUE,85.4485923064078
"257",15,1,"triangular",FALSE,85.4738639796322
"258",14,1,"gaussian",TRUE,85.5268903564794
"259",5,1,"rectangular",FALSE,85.5394958796116
"260",4,1,"gaussian",FALSE,85.8277043778206
"261",10,1,"rectangular",FALSE,85.9907202502913
"262",4,1,"gaussian",TRUE,86.0826133902974
"263",10,3,"rectangular",TRUE,86.0892388211651
"264",10,2,"rectangular",TRUE,86.2021104217476
"265",14,2,"gaussian",FALSE,86.2118612392922
"266",7,2,"rectangular",FALSE,86.2660978577373
"267",2,1,"gaussian",TRUE,86.3148541459784
"268",14,1,"gaussian",FALSE,86.4837412862309
"269",15,1,"gaussian",TRUE,86.7632652206841
"270",15,2,"gaussian",FALSE,87.1582156311898
"271",14,3,"gaussian",FALSE,87.200590372288
"272",15,1,"gaussian",FALSE,87.5411978633905
"273",12,1,"rectangular",TRUE,87.8100382967907
"274",15,3,"gaussian",FALSE,88.1438193666606
"275",9,2,"rectangular",FALSE,88.4771824168764
"276",12,2,"rectangular",TRUE,88.5937454429612
"277",4,1,"rectangular",TRUE,88.7969408131068
"278",12,1,"rectangular",FALSE,88.9028045304747
"279",2,1,"gaussian",FALSE,88.9944737648081
"280",4,1,"rectangular",FALSE,89.9499750024272
"281",2,1,"rectangular",TRUE,90.2290780679612
"282",9,3,"rectangular",FALSE,90.3445931187822
"283",12,3,"rectangular",TRUE,90.5531039267799
"284",14,2,"rectangular",TRUE,90.9511080248663
"285",10,2,"rectangular",FALSE,90.9701523168932
"286",14,1,"rectangular",TRUE,90.9742833606103
"287",14,1,"rectangular",FALSE,91.5365063134535
"288",15,2,"rectangular",TRUE,92.6873757405825
"289",14,3,"rectangular",TRUE,92.7002403146424
"290",15,1,"rectangular",TRUE,92.9259844688673
"291",2,1,"rectangular",FALSE,92.9284730291262
"292",10,3,"rectangular",FALSE,92.9304503083495
"293",15,1,"rectangular",FALSE,93.3433479625458
"294",15,3,"rectangular",TRUE,93.9676417710464
"295",12,2,"rectangular",FALSE,95.4107282354369
"296",14,2,"rectangular",FALSE,97.6193054896968
"297",12,3,"rectangular",FALSE,97.7267233237594
"298",15,2,"rectangular",FALSE,98.8282968236462
"299",14,3,"rectangular",FALSE,100.372271878641
"300",15,3,"rectangular",FALSE,101.775181459504
