"","k","distance","kernel","scale","regr.mse"
"1",5,3,"inv",TRUE,56.6162998315759
"2",4,3,"inv",TRUE,56.6359317631189
"3",4,5,"inv",FALSE,56.958414207114
"4",4,4,"inv",TRUE,57.0763811965273
"5",5,2,"inv",TRUE,57.1711700428061
"6",4,5,"inv",TRUE,57.2347117621799
"7",4,4,"inv",FALSE,57.2591584627258
"8",7,2,"inv",TRUE,57.5011773460935
"9",5,2,"inv",FALSE,57.6071591143371
"10",5,4,"inv",TRUE,57.7235513438999
"11",4,2,"inv",TRUE,57.8657710178556
"12",4,3,"inv",FALSE,57.9287311782842
"13",5,5,"inv",TRUE,57.9668869397958
"14",5,4,"inv",FALSE,58.1406414769881
"15",4,2,"inv",FALSE,58.1569298661742
"16",5,3,"inv",FALSE,58.2449899839605
"17",7,3,"inv",TRUE,58.4152328357671
"18",5,5,"inv",FALSE,58.5099468685664
"19",9,2,"inv",TRUE,58.8111573471565
"20",7,2,"inv",FALSE,59.2558044383706
"21",7,4,"inv",TRUE,59.3449688829658
"22",9,3,"inv",TRUE,59.40028281294
"23",10,2,"inv",TRUE,59.5408664449027
"24",7,5,"inv",TRUE,59.5655125683324
"25",7,3,"inv",FALSE,60.0073367500598
"26",10,3,"inv",TRUE,60.1380852358969
"27",9,2,"inv",FALSE,60.4609528612156
"28",9,4,"inv",TRUE,60.4908346830708
"29",4,5,"optimal",FALSE,60.5448097097784
"30",7,4,"inv",FALSE,60.6096535087932
"31",9,5,"inv",TRUE,61.0253631378971
"32",7,5,"inv",FALSE,61.1768938596247
"33",10,4,"inv",TRUE,61.3482504155742
"34",12,2,"inv",TRUE,61.3737543608124
"35",9,1,"inv",FALSE,61.4219947195535
"36",10,2,"inv",FALSE,61.5025878996863
"37",4,4,"optimal",FALSE,61.542140160233
"38",12,3,"inv",TRUE,61.6574396927598
"39",10,1,"inv",FALSE,61.7854440174967
"40",4,4,"optimal",TRUE,61.8302461719317
"41",4,5,"optimal",TRUE,61.8401536680721
"42",5,5,"optimal",FALSE,61.8659944649794
"43",9,3,"inv",FALSE,61.921109889199
"44",10,5,"inv",TRUE,61.9245281893161
"45",4,3,"optimal",TRUE,62.0016272210291
"46",12,4,"inv",TRUE,62.0038324099596
"47",7,1,"inv",FALSE,62.0404638916056
"48",5,3,"optimal",TRUE,62.1329894828517
"49",5,4,"optimal",TRUE,62.3575092807815
"50",5,5,"optimal",TRUE,62.4649805008368
"51",5,4,"optimal",FALSE,62.5088988212905
"52",12,1,"inv",FALSE,62.524520098192
"53",12,5,"inv",TRUE,62.7369262183723
"54",2,5,"inv",FALSE,62.7617514915322
"55",9,1,"inv",TRUE,62.8766451574973
"56",2,5,"optimal",FALSE,62.9733968498457
"57",10,3,"inv",FALSE,62.9857514134448
"58",10,1,"inv",TRUE,63.0249183809457
"59",12,1,"inv",TRUE,63.1316089438668
"60",7,1,"inv",TRUE,63.230374050723
"61",14,2,"inv",TRUE,63.246676701416
"62",9,4,"inv",FALSE,63.2626244469262
"63",4,3,"optimal",FALSE,63.4077846997326
"64",9,5,"inv",FALSE,63.4445095415509
"65",4,2,"optimal",FALSE,63.5166468804664
"66",7,3,"optimal",TRUE,63.7718876923953
"67",14,4,"inv",TRUE,63.791769652732
"68",12,2,"inv",FALSE,63.817157536322
"69",14,3,"inv",TRUE,63.8212130136243
"70",5,2,"optimal",FALSE,63.8398430390106
"71",5,2,"optimal",TRUE,63.8566204082203
"72",2,5,"inv",TRUE,63.9013373278315
"73",2,4,"inv",FALSE,63.925619567637
