"","k","distance","kernel","scale","classif.ce"
"1",4,1,"triangular",TRUE,0.256536796536797
"2",5,1,"triangular",TRUE,0.257229437229437
"3",5,1,"triangular",FALSE,0.260562770562771
"4",7,1,"optimal",TRUE,0.263939393939394
"5",4,1,"triangular",FALSE,0.266233766233766
"6",5,1,"inv",TRUE,0.266536796536797
"7",5,1,"optimal",TRUE,0.266883116883117
"8",7,1,"triangular",TRUE,0.269393939393939
"9",1,2,"inv",FALSE,0.269480519480519
"10",2,2,"inv",FALSE,0.269480519480519
"11",2,2,"triangular",FALSE,0.269480519480519
"12",2,2,"gaussian",FALSE,0.269480519480519
"13",2,2,"rectangular",FALSE,0.269480519480519
"14",2,2,"optimal",FALSE,0.269480519480519
"15",1,2,"gaussian",FALSE,0.269480519480519
"16",1,2,"triangular",FALSE,0.269480519480519
"17",1,2,"optimal",FALSE,0.269480519480519
"18",1,2,"rectangular",FALSE,0.269480519480519
"19",4,2,"optimal",FALSE,0.269480519480519
"20",1,1,"optimal",TRUE,0.27047619047619
"21",2,1,"inv",TRUE,0.27047619047619
"22",1,1,"gaussian",TRUE,0.27047619047619
"23",1,1,"triangular",TRUE,0.27047619047619
"24",2,1,"triangular",TRUE,0.27047619047619
"25",1,1,"rectangular",TRUE,0.27047619047619
"26",1,1,"inv",TRUE,0.27047619047619
"27",2,1,"optimal",TRUE,0.27047619047619
"28",4,1,"optimal",TRUE,0.27047619047619
"29",2,1,"gaussian",TRUE,0.27047619047619
"30",2,1,"rectangular",TRUE,0.27047619047619
"31",1,3,"triangular",FALSE,0.271212121212121
"32",1,3,"optimal",FALSE,0.271212121212121
"33",2,3,"optimal",FALSE,0.271212121212121
"34",4,3,"optimal",FALSE,0.271212121212121
"35",2,3,"inv",FALSE,0.271212121212121
"36",1,3,"rectangular",FALSE,0.271212121212121
"37",2,3,"triangular",FALSE,0.271212121212121
"38",2,3,"rectangular",FALSE,0.271212121212121
"39",1,3,"gaussian",FALSE,0.271212121212121
"40",2,3,"gaussian",FALSE,0.271212121212121
"41",1,3,"inv",FALSE,0.271212121212121
"42",1,1,"gaussian",FALSE,0.273809523809524
"43",2,1,"rectangular",FALSE,0.273809523809524
"44",2,1,"triangular",FALSE,0.273809523809524
"45",2,1,"optimal",FALSE,0.273809523809524
"46",1,1,"inv",FALSE,0.273809523809524
"47",1,1,"optimal",FALSE,0.273809523809524
"48",2,1,"gaussian",FALSE,0.273809523809524
"49",1,1,"triangular",FALSE,0.273809523809524
"50",4,1,"optimal",FALSE,0.273809523809524
"51",2,1,"inv",FALSE,0.273809523809524
"52",1,1,"rectangular",FALSE,0.273809523809524
"53",5,1,"gaussian",TRUE,0.273982683982684
"54",9,1,"optimal",TRUE,0.278008658008658
"55",10,1,"triangular",TRUE,0.27961038961039
"56",9,1,"triangular",TRUE,0.27965367965368
"57",4,1,"inv",TRUE,0.27974025974026
"58",5,1,"optimal",FALSE,0.28017316017316
"59",4,1,"gaussian",TRUE,0.281645021645022
"60",4,1,"inv",FALSE,0.282077922077922
"61",7,1,"triangular",FALSE,0.282251082251082
"62",14,1,"triangular",TRUE,0.282467532467532
"63",10,1,"optimal",TRUE,0.282597402597403
"64",4,1,"rectangular",TRUE,0.283463203463203
"65",4,2,"triangular",TRUE,0.284199134199134
"66",12,1,"triangular",TRUE,0.284285714285714
"67",15,1,"triangular",TRUE,0.285281385281385
"68",7,1,"optimal",FALSE,0.285714285714286
"69",4,3,"triangular",FALSE,0.286147186147186
"70",4,2,"triangular",FALSE,0.287099567099567
"71",12,1,"optimal",TRUE,0.287186147186147
"72",15,1,"inv",TRUE,0.288138528138528
"73",9,1,"optimal",FALSE,0.2895670995671
"74",4,1,"gaussian",FALSE,0.2895670995671
"75",5,2,"triangular",FALSE,0.290692640692641
"76",5,2,"triangular",TRUE,0.291774891774892
"77",12,1,"inv",TRUE,0.291774891774892
"78",7,2,"optimal",TRUE,0.292727272727273
"79",5,1,"inv",FALSE,0.295108225108225
"80",10,2,"optimal",TRUE,0.295627705627706
"81",9,2,"optimal",TRUE,0.295714285714286
"82",14,1,"inv",TRUE,0.296580086580087
"83",5,1,"gaussian",FALSE,0.296969696969697
"84",2,2,"gaussian",TRUE,0.297402597402597
"85",1,2,"rectangular",TRUE,0.297402597402597
"86",7,2,"triangular",TRUE,0.297402597402597
"87",1,2,"gaussian",TRUE,0.297402597402597
"88",2,2,"inv",TRUE,0.297402597402597
"89",4,2,"optimal",TRUE,0.297402597402597
"90",2,2,"rectangular",TRUE,0.297402597402597
"91",2,2,"triangular",TRUE,0.297402597402597
"92",1,2,"inv",TRUE,0.297402597402597
"93",2,2,"optimal",TRUE,0.297402597402597
"94",1,2,"triangular",TRUE,0.297402597402597
"95",1,2,"optimal",TRUE,0.297402597402597
"96",7,1,"inv",TRUE,0.298051948051948
"97",7,1,"gaussian",TRUE,0.298138528138528
"98",4,1,"rectangular",FALSE,0.298138528138528
"99",5,3,"triangular",FALSE,0.298268398268398
"100",4,3,"triangular",TRUE,0.298268398268398
"101",7,2,"triangular",FALSE,0.298354978354978
"102",5,2,"inv",TRUE,0.298528138528139
"103",12,2,"optimal",TRUE,0.299177489177489
"104",14,1,"optimal",TRUE,0.299307359307359
"105",5,1,"rectangular",TRUE,0.30012987012987
"106",5,3,"optimal",FALSE,0.301125541125541
"107",14,1,"gaussian",TRUE,0.301168831168831
"108",10,1,"inv",TRUE,0.301991341991342
"109",15,1,"gaussian",TRUE,0.302121212121212
"110",5,2,"optimal",FALSE,0.302294372294372
"111",9,1,"triangular",FALSE,0.302857142857143
"112",12,1,"gaussian",TRUE,0.302857142857143
"113",1,3,"triangular",TRUE,0.303116883116883
"114",2,3,"rectangular",TRUE,0.303116883116883
"115",1,3,"optimal",TRUE,0.303116883116883
"116",4,2,"gaussian",TRUE,0.303116883116883
"117",1,3,"gaussian",TRUE,0.303116883116883
"118",2,3,"inv",TRUE,0.303116883116883
"119",1,3,"rectangular",TRUE,0.303116883116883
"120",2,3,"optimal",TRUE,0.303116883116883
"121",2,3,"gaussian",TRUE,0.303116883116883
"122",2,3,"triangular",TRUE,0.303116883116883
"123",1,3,"inv",TRUE,0.303116883116883
"124",4,3,"optimal",TRUE,0.303116883116883
"125",10,1,"gaussian",TRUE,0.303722943722944
"126",9,1,"gaussian",TRUE,0.303852813852814
"127",9,1,"inv",TRUE,0.303939393939394
"128",9,2,"optimal",FALSE,0.303982683982684
"129",4,2,"rectangular",TRUE,0.304069264069264
"130",5,2,"optimal",TRUE,0.304069264069264
"131",5,2,"gaussian",TRUE,0.304155844155844
"132",10,1,"optimal",FALSE,0.304588744588745
"133",4,2,"inv",TRUE,0.305021645021645
"134",9,3,"optimal",TRUE,0.305887445887446
"135",5,1,"rectangular",FALSE,0.306363636363636
"136",10,2,"inv",TRUE,0.306666666666667
"137",4,3,"gaussian",TRUE,0.306753246753247
"138",4,3,"inv",TRUE,0.306753246753247
"139",10,3,"optimal",TRUE,0.306796536796537
"140",4,3,"rectangular",TRUE,0.306796536796537
"141",5,3,"triangular",TRUE,0.307532467532468
"142",7,3,"optimal",FALSE,0.307662337662338
"143",15,1,"optimal",TRUE,0.307662337662338
"144",10,1,"triangular",FALSE,0.309480519480519
"145",15,2,"triangular",TRUE,0.309480519480519
"146",12,1,"triangular",FALSE,0.309480519480519
