"","k","distance","kernel","scale","classif.ce"
"1",5,1,"inv",TRUE,0.252857142857143
"2",5,1,"gaussian",TRUE,0.258484848484848
"3",5,1,"triangular",TRUE,0.259264069264069
"4",5,1,"optimal",TRUE,0.259350649350649
"5",4,1,"triangular",TRUE,0.26025974025974
"6",7,1,"optimal",TRUE,0.26025974025974
"7",5,1,"inv",FALSE,0.264025974025974
"8",7,1,"triangular",TRUE,0.264848484848485
"9",1,1,"optimal",TRUE,0.267662337662338
"10",1,1,"triangular",TRUE,0.267662337662338
"11",1,1,"inv",TRUE,0.267662337662338
"12",1,1,"gaussian",TRUE,0.267662337662338
"13",2,1,"rectangular",TRUE,0.267662337662338
"14",1,1,"rectangular",TRUE,0.267662337662338
"15",2,1,"gaussian",TRUE,0.267662337662338
"16",2,1,"inv",TRUE,0.267662337662338
"17",2,1,"optimal",TRUE,0.267662337662338
"18",2,1,"triangular",TRUE,0.267662337662338
"19",4,1,"optimal",TRUE,0.267662337662338
"20",5,1,"triangular",FALSE,0.271255411255411
"21",9,1,"optimal",TRUE,0.271515151515151
"22",5,1,"optimal",FALSE,0.272294372294372
"23",7,1,"optimal",FALSE,0.274112554112554
"24",5,1,"gaussian",FALSE,0.274329004329004
"25",7,1,"triangular",FALSE,0.275151515151515
"26",4,1,"triangular",FALSE,0.275930735930736
"27",4,1,"inv",FALSE,0.276883116883117
"28",2,1,"gaussian",FALSE,0.277748917748918
"29",4,1,"optimal",FALSE,0.277748917748918
"30",1,1,"inv",FALSE,0.277748917748918
"31",2,1,"inv",FALSE,0.277748917748918
"32",1,1,"triangular",FALSE,0.277748917748918
"33",1,1,"gaussian",FALSE,0.277748917748918
"34",1,1,"optimal",FALSE,0.277748917748918
"35",2,1,"optimal",FALSE,0.277748917748918
"36",2,1,"triangular",FALSE,0.277748917748918
"37",2,1,"rectangular",FALSE,0.277748917748918
"38",1,1,"rectangular",FALSE,0.277748917748918
"39",10,1,"optimal",TRUE,0.278008658008658
"40",4,1,"inv",TRUE,0.278008658008658
"41",9,1,"triangular",TRUE,0.278787878787879
"42",12,1,"triangular",TRUE,0.27982683982684
"43",10,1,"triangular",TRUE,0.280779220779221
"44",10,1,"triangular",FALSE,0.282510822510822
"45",9,1,"triangular",FALSE,0.282554112554113
"46",4,1,"gaussian",TRUE,0.282640692640693
"47",14,1,"triangular",TRUE,0.283419913419913
"48",7,1,"inv",FALSE,0.284588744588745
"49",5,2,"inv",FALSE,0.285367965367965
"50",5,2,"triangular",TRUE,0.286926406926407
"51",4,2,"triangular",TRUE,0.287012987012987
"52",15,1,"triangular",TRUE,0.287142857142857
"53",4,1,"gaussian",FALSE,0.287186147186147
"54",12,1,"optimal",TRUE,0.288138528138528
"55",9,1,"optimal",FALSE,0.288181818181818
"56",4,1,"rectangular",TRUE,0.288311688311688
"57",5,1,"rectangular",FALSE,0.288354978354978
"58",12,1,"triangular",FALSE,0.289177489177489
"59",10,1,"optimal",FALSE,0.29
"60",7,1,"gaussian",TRUE,0.29021645021645
"61",7,2,"optimal",TRUE,0.291688311688312
"62",12,1,"optimal",FALSE,0.291818181818182
"63",4,1,"rectangular",FALSE,0.291818181818182
"64",5,1,"rectangular",TRUE,0.292987012987013
"65",12,1,"inv",TRUE,0.293419913419913
"66",14,1,"inv",FALSE,0.293593073593074
"67",9,2,"optimal",TRUE,0.293636363636364
"68",4,2,"rectangular",TRUE,0.293679653679654
"69",4,2,"inv",TRUE,0.293722943722944
"70",7,1,"inv",TRUE,0.293852813852814
"71",14,1,"inv",TRUE,0.294285714285714
"72",5,2,"inv",TRUE,0.294458874458874
"73",10,2,"optimal",TRUE,0.294632034632035
"74",14,1,"triangular",FALSE,0.294761904761905
"75",4,3,"triangular",TRUE,0.295367965367965
"76",7,2,"optimal",FALSE,0.295627705627706
"77",15,1,"inv",TRUE,0.296103896103896
"78",7,2,"triangular",TRUE,0.296363636363636
"79",9,1,"inv",FALSE,0.296406926406926
"80",15,1,"triangular",FALSE,0.296623376623377
"81",5,2,"gaussian",FALSE,0.296623376623377
"82",7,1,"gaussian",FALSE,0.296796536796537
"83",4,3,"inv",TRUE,0.297402597402597
"84",9,2,"triangular",TRUE,0.297402597402597
"85",5,3,"triangular",TRUE,0.298095238095238
"86",4,3,"optimal",TRUE,0.298225108225108
"87",2,3,"gaussian",TRUE,0.298225108225108
"88",1,3,"optimal",TRUE,0.298225108225108
"89",1,3,"gaussian",TRUE,0.298225108225108
"90",2,3,"rectangular",TRUE,0.298225108225108
"91",2,3,"inv",TRUE,0.298225108225108
"92",2,3,"triangular",TRUE,0.298225108225108
"93",1,3,"inv",TRUE,0.298225108225108
"94",1,3,"rectangular",TRUE,0.298225108225108
"95",1,3,"triangular",TRUE,0.298225108225108
"96",2,3,"optimal",TRUE,0.298225108225108
"97",5,2,"optimal",TRUE,0.298311688311688
"98",14,1,"optimal",FALSE,0.298398268398268
"99",14,1,"optimal",TRUE,0.298398268398268
"100",15,1,"inv",FALSE,0.299004329004329
"101",10,1,"inv",FALSE,0.299004329004329
"102",4,2,"gaussian",TRUE,0.299350649350649
"103",12,1,"inv",FALSE,0.3
"104",5,3,"inv",FALSE,0.30008658008658
"105",2,2,"gaussian",TRUE,0.30017316017316
"106",1,2,"triangular",TRUE,0.30017316017316
"107",2,2,"optimal",TRUE,0.30017316017316
"108",1,2,"rectangular",TRUE,0.30017316017316
"109",2,2,"triangular",TRUE,0.30017316017316
"110",1,2,"optimal",TRUE,0.30017316017316
"111",2,2,"inv",TRUE,0.30017316017316
"112",2,2,"rectangular",TRUE,0.30017316017316
"113",4,2,"optimal",TRUE,0.30017316017316
"114",1,2,"gaussian",TRUE,0.30017316017316
"115",1,2,"inv",TRUE,0.30017316017316
"116",4,3,"gaussian",TRUE,0.301168831168831
"117",4,2,"rectangular",FALSE,0.301168831168831
"118",4,3,"inv",FALSE,0.301818181818182
"119",5,3,"optimal",TRUE,0.301991341991342
"120",15,1,"optimal",FALSE,0.302077922077922
"121",4,3,"rectangular",TRUE,0.302121212121212
"122",10,1,"inv",TRUE,0.302857142857143
